"id","name","image","parts_type","color","offset_x","offset_y","offset_scale","power_type","power","duration","caption","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
150,"メレンのシルクハット","hat_z021a_p112+hat_z021a_p17",20,0,0,0,100,0,0,0,,"Melen's Silk Hat","Chapeau de Soie de Melen","메렌의 실크모자","梅伦的礼帽","梅倫的禮帽","Melen Silk Hat","หมวกผ้าไหมของเมเลน",,,,,,,
151,"深淵くん","fairy_z006a_p120+fairy_z006a_p8",23,0,0,0,100,0,0,0,,"Abyss","Abîmes","심연","深渊君","深淵君","Abyss ","ชินเอ็นคุง",,,,,,,
152,"フリードリヒの上着","blouse_z014a_p33+blouse_z014a_p67+blouse_z014a_p87+blouse_z014a_p40",10,0,0,0,100,0,0,0,,"Friedrich's Coat","Veste de Friedrich","프리드리히의 외투","弗雷特里西的上衣","弗雷特里西的上衣","Friedrich Coat","เสื้อนอกของฟรีดริช",,,,,,,
153,"フリードリヒのパンツ","skirt_z014a_p48+skirt_z014a_p59",11,0,0,0,100,0,0,0,,"Friedrich's Pants","Pantalon de Friedrich","프리드리히의 바지","弗雷特里西的裤子","弗雷特里西的褲子","Friedrich Pants","กางเกงของฟรีดริช",,,,,,,
154,"フリードリヒのロングブーツ","shoes_z014a_p51+shoes_z014a_p62",13,0,0,0,100,0,0,0,,"Friedrich's Long Boots","Bottes de Friedrich","프리드리히의 롱부츠","弗雷特里西的长靴","弗雷特里西的長靴","Friedrich Long Boots","บูทยาวของฟรีดริช",,,,,,,
155,"ロブ","fairy_z011a_p124",23,0,0,0,100,0,0,0,,"Robe","Robb","로브","罗布","羅布","Rob","ร็อบ",,,,,,,
156,"シェリのドロワーズ","skirt_z011a_p45+skirt_z011a_p56",11,0,0,0,100,0,0,0,,"Sheri's Drawers","Jupon de Sheri","쉐리의 드로어즈","雪莉的衬裤","雪莉的襯褲","Sheri Drawers","กางเกงทรงฟักทองของเชรี",,,,,,,
157,"シェリのキャミソール","dress_z011b_p67",12,0,0,0,100,0,0,0,,"Sheri's Camisole","Camisole de Sheri","쉐리의 캐미솔","雪莉的衬衣","雪莉的襯衣","Sheri Camisole","ซับในของเชรี",,,,,,,
158,"秘術の指輪","ring_m000a_p82",23,0,0,0,100,3,10,0,"獲得EXPを__POW__%増加します","Arcane Ring","Anneau mystérieux","비술의 반지","秘术的戒指","秘術的戒指","Arcane Ring","แหวนแห่งศาสตร์ลับ","Increase EXP acquisition by __POW__%.","EXP acquis multipliés par __POW__ %.","획득 EXP를 __POW__% 증가","获得经验值增加__POW__%","獲得經驗值增加__POW__%","Menambah akuisisi EXP __POW__%.","เพิ่ม EXP ที่ได้รับ__POW__%"
159,"丘王の冠","tiara_x000a_p112",20,0,0,0,100,5,35,0,"クエスト探索時間を__POW__%短縮します","Zwerge King's Crown","Couronne du Roi de Zwerge","언덕 왕의 관","丘王之冠","丘王之冠","Ogre Crown","มงกุฎราชาแห่งหุบเขา","Time required to find quests is reduced by __POW__%.","Raccourcit le temps de Quête de__POW__.","퀘스트의 탐색 시간을 __POW__% 단축","任务探索时间缩短__POW__%","任務探索時間縮短__POW__%","Mengurangi waktu pencarian Quest __POW__%.","ลดเวลาที่ใช้ในการสำรวจเควสลง__POW__%"
160,"丘王の冠","tiara_x000b_p112",20,0,0,0,100,5,55,0,"クエスト探索時間を__POW__%短縮します","Zwerge King's Crown","Couronne du Roi de Zwerge","언덕 왕의 관","丘王之冠","丘王之冠","Ogre Crown","มงกุฎราชาแห่งหุบเขา","Time required to find quests is reduced by __POW__%.","Raccourcit le temps de Quête de__POW__.","퀘스트의 탐색 시간을 __POW__% 단축","任务探索时间缩短__POW__%","任務探索時間縮短__POW__%","Mengurangi waktu pencarian Quest __POW__%.","ลดเวลาที่ใช้ในการสำรวจเควสลง__POW__%"
161,"丘王の冠","tiara_x000c_p112",20,0,0,0,100,5,80,0,"クエスト探索時間を__POW__%短縮します","Zwerge King's Crown","Couronne du Roi de Zwerge","언덕 왕의 관","丘王之冠","丘王之冠","Ogre Crown","มงกุฎราชาแห่งหุบเขา","Time required to find quests is reduced by __POW__%.","Raccourcit le temps de Quête de__POW__.","퀘스트의 탐색 시간을 __POW__% 단축","任务探索时间缩短__POW__%","任務探索時間縮短__POW__%","Mengurangi waktu pencarian Quest __POW__%.","ลดเวลาที่ใช้ในการสำรวจเควสลง__POW__%"
162,"レッドグレイヴのブーツ","shoes_z023a_p51+shoes_z023a_p62",13,0,0,0,100,0,0,0,,"Redgrave's Boots","Bottes de Redgrave","레드그레이브의 부츠","蕾格烈芙的鞋子","蕾格烈芙的鞋子","Redgrave Boots","บูทของเรดเกรฟ",,,,,,,
163,"レッドグレイヴのドレス","dress_z023a_p33+dress_z023a_p43+dress_z023a_p67+dress_z023a_p87+dummy_p69",12,0,0,0,100,0,0,0,,"Redgrave's Dress","Robe de Redgrave","레드그레이브의 드레스","蕾格烈芙的洋装","蕾格烈芙的洋裝","Redgrave Dress","ชุดของเรดเกรฟ",,,,,,,
164,"レッドグレイヴの髪型","hair_z023a_p18+hair_z023a_p37+hair_z023a_p108",3,0,0,0,100,0,0,0,,"Redgrave's Wig","Perruque de Redgrave","레드그레이브의 헤어","蕾格烈芙的发型","蕾格烈芙的髮飾","Redgrave Wig","วิกของเรดเกรฟ",,,,,,,
165,"ロッソのブーツ","shoes_z019a_p51+shoes_z019a_p62",13,0,0,0,100,0,0,0,,"Rosso's Boots","Bottes de Rosso","로쏘의 부츠","罗索的鞋子","羅索的鞋子","Rosso Boots","บูทของรอสโซ่",,,,,,,
166,"ロッソのパンツ","skirt_z019a_p64+dummy_p69+dummy_p59",11,0,0,0,100,0,0,0,,"Rosso's Pants","Pantalon de Rosso","로쏘의 바지","罗索的裤子","羅索的褲子","Rosso Pants","กางเกงของรอสโซ่",,,,,,,
167,"ロッソのコート","blouse_z019a_p33+blouse_z019a_p67+blouse_z019a_p87+blouse_z019a_p107",12,0,0,0,100,0,0,0,,"Rosso's Coat","Manteau de Rosso","로쏘의 코트","罗索的大衣","羅索的大衣","Rosso Coat","เสื้อโค้ทของรอสโซ่",,,,,,,
168,"ロッソの眼鏡","eyewear_z019a_p105",22,0,0,0,100,0,0,0,,"Rosso's Glasses","Lunettes de Rosso","로쏘의 안경","罗索的眼镜","羅索的眼鏡","Rosso Glasses","แว่นตาของรอสโซ่",,,,,,,
169,"レインコート（黄）","dress_x001a_p33+dress_x001a_p67+dress_x001a_p87",12,0,0,0,100,0,0,0,,"Raincoat (yellow)","Imperméable (jaune)","레인코트(황)","雨衣(黄)","雨衣(黃)","Raincoat (Yellow)","เสื้อกันฝน (เหลือง)",,,,,,,
170,"長靴（黄）","shoes_x001a_p51+shoes_x001a_p62",13,0,0,0,100,0,0,0,,"Boots(yellow)","Bottes (jaune)","장화(황)","长靴(黃)","長靴(黃)","Boots (Yellow)","รองเท้าบูทยาว (เหลือง)",,,,,,,
171,"アコライトの靴（紫）","shoes_z300a_p51+shoes_z300a_p62",13,0,0,0,100,0,0,0,,"Acolyte's Boots (purple)","Chausses d'Acolyte (violet)","어콜라이트의 신발(자)","侍者的鞋子(紫)","侍者的鞋子(紫)","Acolyte Shoes (Purple)","รองเท้าอโคไลท์ (ม่วง)",,,,,,,
172,"アコライトのパンツ（紫）","skirt_z300a_p64+dummy_p69+dummy_p59",11,0,0,0,100,0,0,0,,"Acolyte's Pants (purple)","Pantalon d'Acolyte (violet) ","어콜라이트의 바지(자)","侍者的裤子(紫)","侍者的褲子(紫)","Acolyte Pants (Purple)","กางเกงอโคไลท์ (ม่วง)",,,,,,,
173,"アコライトの服（紫）","blouse_z300a_p33+blouse_z300a_p67+blouse_z300a_p87+blouse_z300a_p40",10,0,0,0,100,0,0,0,,"Acolyte's Cloth (purple)","Vêtement d'Acolyte (violet)","어콜라이트의 상의(자)","侍者的服装(紫)","侍者的服裝(紫)","Acolyte Clothes (Purple)","ชุดอโคไลท์ (ม่วง)",,,,,,,
174,"アコライトの靴（赤）","shoes_z032a_p51+shoes_z032a_p62",13,0,0,0,100,0,0,0,,"Acolyte's Boots (red)","Chausses d'Acolyte (rouge)","어콜라이트의 신발(적)","侍者的鞋子(红)","侍者的鞋子(紅)","Acolyte Shoes (Red)","รองเท้าอโคไลท์ (แดง)",,,,,,,
175,"アコライトのパンツ（赤）","skirt_z032a_p64+dummy_p69+dummy_p59",11,0,0,0,100,0,0,0,,"Acolyte's Pants (red)","Pantalon d'Acolyte (rouge) ","어콜라이트의 바지(적)","侍者的裤子(紅)","侍者的褲子(紅)","Acolyte Pants (Red)","กางเกงอโคไลท์ (แดง)",,,,,,,
176,"アコライトの服（赤）","blouse_z032a_p33+blouse_z032a_p67+blouse_z032a_p87+blouse_z032a_p40",10,0,0,0,100,0,0,0,,"Acolyte's Cloth (red)","Vêtement d'Acolyte (rouge)","어콜라이트의 상의(적)","侍者的服装(紅)","侍者的服裝(紅)","Acolyte Clothes (Red)","ชุดอโคไลท์ (แดง)",,,,,,,
177,"麦わら帽子","hat_x002a_p112+hat_x002a_p17",20,0,0,0,100,0,0,0,,"Straw Hat","Chapeau de paille","밀짚모자","草帽","草帽","Straw Hat","หมวกฟาง",,,,,,,
178,"ビーチサンダル","shoes_x002a_p51+shoes_x002a_p62",13,0,0,0,100,0,0,0,,"Beach Sandals","Tongs","비치샌들","海滩凉鞋","海灘涼鞋","Flip-Flops","รองเท้าแตะ",,,,,,,
179,"ワンピ水着","swim_o_a000a_p67+dummy_p64",10,0,0,0,100,0,0,0,,"One Piece Swimsuit","Robe Maillot de bain","원피스 수영복","连身泳衣","連身泳衣","Swimdress","ชุดว่ายน้ำวันพีซ",,,,,,,
180,"ホッケーマスク","mask_x000a_p105",22,0,0,0,100,0,0,0,,"Hockey Mask","Casque de hockey","하키마스크","曲棍球面罩","曲棍球面罩","Hockey Mask","หน้ากากฮ็อกกี้",,,,,,,
181,"看護帽","hat_x003a_p112",20,0,0,0,100,0,0,0,,"Nurse's Cap","Chapeau d'infirmière","간호사 모자","护士帽","護士帽","Nurse Cap","หมวกพยาบาล",,,,,,,
182,"看護服","dress_x002a_p33+dress_x002a_p67+dress_x002a_p87",12,0,0,0,100,0,0,0,,"Nurse Uniform","Vêtement d'infirmière","간호사 옷","护士服","護士服","Nurse Uniform","ชุดพยาบาล",,,,,,,
183,"緋色の指輪","ring_m001a_p82",23,0,0,0,100,3,30,0,"獲得EXPを__POW__%増加します","Scarlet Ring","Bague pourpre","주홍색 반지","深红色的戒指","深紅色的戒指","Scarlet Ring","แหวนสีเลือด","Increase EXP acquisition by __POW__%.","EXP acquis multipliés par __POW__ %.","획득 EXP를 __POW__% 증가","获得经验值增加__POW__%","獲得經驗值增加__POW__%","Menambah akuisisi EXP __POW__%.","เพิ่ม EXP ที่ได้รับ__POW__%"
184,"うるうる","eye_x001a_p102",1,0,0,0,100,0,0,0,,"Teary-Eyed Expression","Oeil Larmoyant","글성글성","水汪汪","水汪汪","Ururu","น้ำตาคลอ",,,,,,,"(*ชิ้นส่วนตาแสดงอารมณ์)"
185,"ぽかーん","mouth_x001a_p101",2,0,0,0,100,0,0,0,,"Speechless Expression","Bouche ouverte","벌어진 입","惊讶","驚訝","Pokan","อึ้ง",,,,,,,"(*ชิ้นส่วนปากแสดงอารมณ์)"
186,"小悪魔の角","ribbon_x000a_p114",20,0,0,0,100,0,0,0,,"Devil Horns","Corne de Petit Diable","작은 악마의 뿔","小恶魔角","小惡魔角","Devil Horn","เขาปิศาจน้อย",,,,,,,
187,"パンプキンチュニック","blouse_x000a_p33+blouse_x000a_p67+blouse_x000a_p87",10,0,0,0,100,0,0,0,,"Pumking's Tunic","Tunique Citrouille","펌프킨 튜닉","南瓜外衣","南瓜外衣","Pumpkin Tunic","เสื้อคลุมฟักทอง",,,,,,,
188,"パンプキンブーツ","shoes_x003a_p51+shoes_x003a_p62",13,0,0,0,100,0,0,0,,"Pumking's Boots","Bottes Citrouille","펌프킨 부츠","南瓜鞋子","南瓜鞋子","Pumpkin Boots","บูทฟักทอง",,,,,,,
189,"レオンのバンダナ","mask_z005a_p105",22,0,0,0,100,0,0,0,,"Leon's Bandana","Foulard de Léon","레온 반다나","利恩的头带","利恩的頭帶","Leon Bandana","ผ้าคาดหัวของเลออน",,,,,,,
190,"アーチボルトの帽子","hat_z008a_p112",20,0,0,0,100,0,0,0,,"Archibald's Fedora","Chapeau d'Archibald","아치볼드의 모자","阿奇波尔多的帽子","阿奇波爾多的帽子","Archibald Hat","หมวกของอาร์ชิบัลท์",,,,,,,
191,"エヴァリストの眼鏡","eyewear_z001a_p105",22,0,0,0,100,0,0,0,,"Evarist' Glasses","Lunettes d'Evarist","에바리스트의 안경","艾伯李斯特的眼镜","艾伯李斯特的眼鏡","Evarist Glasses","แว่นตาของเอวาริสท์",,,,,,,
192,"ベルンハルトのブーツ","shoes_z013a_p51+shoes_z013a_p62",13,0,0,0,100,0,0,0,,"Bernhard's Boots","Bottes de Bernhard","베른하드의 부츠","伯恩哈德的鞋子","伯恩哈德的鞋子","Bernhard Boots","บูทของเบิร์นฮาร์ท",,,,,,,
193,"ベルンハルトのパンツ","skirt_z013a_p64",11,0,0,0,100,0,0,0,,"Bernhard's Pants","Pantalon de Bernhard","베른하드의 바지","伯恩哈德的裤子","伯恩哈德的褲子","Bernhard Pants","กางเกงของเบิร์นฮาร์ท",,,,,,,
194,"ベルンハルトの上着","blouse_z013a_p33+blouse_z013a_p67+blouse_z013a_p87+blouse_z013a_p40",10,0,0,0,100,0,0,0,,"Bernhard's Coat","Veste de Bernhard","베른하드의 상의","伯恩哈德的上衣","伯恩哈德的上衣","Bernhard Coat","เสื้อนอกของเบิร์นฮาร์ท",,,,,,,
195,"リーズのブーツ","shoes_z024a_p51+shoes_z024a_p62",13,0,0,0,100,0,0,0,,"Riesz' Boots","Bottes de Riesz","리즈의 부츠","里斯的鞋子","里斯的鞋子","Riesz Boots","บูทของรีซ",,,,,,,
196,"リーズのトラウザ","skirt_z024a_p48+skirt_z024a_p59",11,0,0,0,100,0,0,0,,"Riesz' Trousers","Pantalon de Riesz","리즈의 바지","里斯的长裤","里斯的長褲","Riesz Trouser","กางเกงของรีซ",,,,,,,
197,"リーズの上着","blouse_z024a_p33+blouse_z024a_p67+blouse_z024a_p87",10,0,0,0,100,0,0,0,,"Riesz' Coat","Veste de Riesz","리즈의 상의","里斯的上衣","里斯的上衣","Riesz Coat","เสื้อนอกของรีซ",,,,,,,
198,"ミニハット黒","hat_m000a_p112",20,0,0,0,100,0,0,0,,"Small Hat (Black)","Petit Chapeau (Noir)","미니하트(흑)","迷你帽子(黑)","迷你帽子(黑)","Mini Hat (Black)","มินิแฮ็ท (ดำ)",,,,,,,
199,"ミニハット白","hat_m000b_p112",20,0,0,0,100,0,0,0,,"Small Hat (White)","Petit Chapeau (Blanc)","미니하트(백)","迷你帽子(白)","迷你帽子(白)","Mini Hat (White)","มินิแฮ็ท (ขาว)",,,,,,,
200,"サンタの髭","mask_x001a_p103",22,0,0,0,100,1,5,0,"装備時、レアリティ6以上のクエストをプレゼントした時、クエストが変化します。Ap回復時間を__POW__分短縮します（イベント終了時に消滅します。）","Santa Beard","Barbe de Père Noël","산타의 수염","圣诞老人的胡须","聖誕老人的鬍鬚","Santa Beard","หนวดซานตาคลอส","When equipped and a quest of rarity 6 or higher is given, the quest will change. Reduces AP recovery time by __POW__ minutes. Disappears during fixed maintenance periods.","Lorsque vous vous équipez et que vous faites cadeau d'un Quête Réalité niveau 6 ou plus, votre Quête change. Réduction de__POW__ heure(s) du temps de récupération d'AP. Disparaît lors de la prochaine maintenance.","장착시, 레어리티 6이상의 퀘스트를 선물했을 때, 퀘스트가 변화합니다.AP회복 시간을 __POW__분 단축합니다. 정기 점검시 삭제됩니다.","装备时寄送稀有度6以上任务的话，任务将会变成活动任务。AP回復时间缩短__POW__分。服务器定期维修后将自动消失。","裝備時寄送稀有度6以上任務的話，任務將會變成活動任務。AP回復時間縮短__POW__分(活動結束後消失)","Mendapatkan Quest dengan 6-rarity. Mempercepat pemulihan AP selama __POW__. Menghilangkan periode pemeliharan server berkala.","เมื่อสวมใส่ หรือให้ของขวัญเป็นเควสหายากระดับ 6 ขึ้นไป เควสจะมีการเปลี่ยนแปลง ลดเวลาฟื้น AP __POW__นาที จะหายไปเมื่อถึงกำหนดปรับปรุงระบบ"
201,"牡丹の髪飾り（赤）","hat_x004a_p117",20,0,0,0,100,0,0,0,,"Peony Hair Ornament (Red)","Barrette Pivoine (Rouge)","모란의 머리장식（적）","牡丹花发夹(紅)","牡丹花髮夾(紅)","Peony Hairpin (Red)","ปิ่นปักผมโบตั๋น (แดง)",,,,,,,
202,"牡丹の髪飾り（青）","hat_x004b_p117",20,0,0,0,100,0,0,0,,"Peony Hair Ornament (Blue)","Barrette Pivoine (Bleu)","모란의 머리장식（청）","牡丹花发夹(蓝)","牡丹花髮夾(藍)","Peony Hairpin (Blue)","ปิ่นปักผมโบตั๋น (ฟ้า)",,,,,,,
203,"牡丹の髪飾り（白）","hat_x004c_p117",20,0,0,0,100,0,0,0,,"Peony Hair Ornament (White)","Barrette Pivoine (Blanc)","모란의 머리장식（백）","牡丹花发夹(白)","牡丹花髮夾(白)","Peony Hairpin (White)","ปิ่นปักผมโบตั๋น (ขาว)",,,,,,,
204,"ロングシルクドレス（赤）","dress_x003a_p33+dress_x003a_p67+dress_x003a_p87+dress_x003a_p40",12,0,0,0,100,0,0,0,,"Long Silk Dress (Red)","Robe longue en soie (Rouge)","롱 실크 드레스（적）","丝绸长袍(紅)","絲綢長袍(紅)","Long Silk Dress (Red)","เดรสยาว (แดง)",,,,,,,
205,"ロングシルクドレス（青）","dress_x003b_p33+dress_x003b_p67+dress_x003b_p87+dress_x003b_p40",12,0,0,0,100,0,0,0,,"Long Silk Dress (Blue)","Robe longue en soie(Bleue)","롱 실크 드레스（청）","丝绸长袍(蓝)","絲綢長袍(藍)","Long Silk Dress (Blue)","เดรสยาว (ฟ้า)",,,,,,,
206,"ロングシルクドレス（黒）","dress_x003c_p33+dress_x003c_p67+dress_x003c_p87+dress_x003c_p40",12,0,0,0,100,0,0,0,,"Long Silk Dress (Black)","Robe longue en soie(Noire)","롱 실크 드레스（흑）","丝绸长袍(黑)","絲綢長袍(黑)","Long Silk Dress (Black)","เดรสยาว (ดำ)",,,,,,,
207,"シルクパンプス（赤）","shoes_x004a_p51+shoes_x004a_p62",13,0,0,0,100,0,0,0,,"Silk Pumps (Red)","Escarpins en soie(Rouge)","실크 펌프스（적）","丝绸娃娃鞋(紅)","絲綢娃娃鞋(紅)","Silk Pumps (Red)","รองเท้าผ้าไหม (แดง)",,,,,,,
208,"シルクパンプス（青）","shoes_x004b_p51+shoes_x004b_p62",13,0,0,0,100,0,0,0,,"Silk Pumps (Blue)","Escarpins en soie(Bleu)","실크 펌프스（청）","丝绸娃娃鞋(蓝)","絲綢娃娃鞋(藍)","Silk Pumps (Red)","รองเท้าผ้าไหม (ฟ้า)",,,,,,,
209,"シルクパンプス（黒）","shoes_x004c_p51+shoes_x004c_p62",13,0,0,0,100,0,0,0,,"Silk Pumps (Black)","Escarpins en soie(Noir)","실크 펌프스（흑）","丝绸娃娃鞋(黑)","絲綢娃娃鞋(黑)","Silk Pumps (Red)","รองเท้าผ้าไหม (ดำ)",,,,,,,
210,"シルクドレス（赤）","dress_a010a_p33+dress_a010a_p67+dress_a010a_p87",12,0,0,0,100,0,0,0,,"Silk Dress (Red)","Robe en soie(Rouge)","실크 드레스（적）","丝绸旗袍(紅)","絲綢旗袍(紅)","Silk Dress (Red)","ชุดผ้าไหม (แดง)",,,,,,,
211,"シルクドレス（青）","dress_a010b_p33+dress_a010b_p67+dress_a010b_p87",12,0,0,0,100,0,0,0,,"Silk Dress (Blue)","Robe en soie(Bleue)","실크 드레스（청）","丝绸旗袍(蓝)","絲綢旗袍(藍)","Silk Dress (Blue)","ชุดผ้าไหม (ฟ้า)",,,,,,,
212,"シルクドレス（黒）","dress_a010c_p33+dress_a010c_p67+dress_a010c_p87",12,0,0,0,100,0,0,0,,"Silk Dress (Black)","Robe en soie(Noire)","실크 드레스（흑）","丝绸旗袍(黑)","絲綢旗袍(黑)","Silk Dress (Black)","ชุดผ้าไหม (ดำ)",,,,,,,
213,"ベーシックセーラー（青）","blouse_a001a_p33+blouse_a001a_p67+blouse_a001a_p87",10,0,0,0,100,0,0,0,,"Sailor's Outfit (Blue)","Uniforme de Marin (Bleu)","베이직 세일러（청）","基本款水手服（蓝）","基本款水手服（藍）","Basic Sailor (Blue)","เสื้อกะลาสี (ฟ้า)",,,,,,,"(ชุดเครื่องแบบทหารเรือ)"
214,"ベーシックセーラー（緑）","blouse_a001b_p33+blouse_a001b_p67+blouse_a001b_p87",10,0,0,0,100,0,0,0,,"Sailor's Outfit (Green)","Uniforme de Marin (Vert)","베이직 세일러（녹）","基本款水手服（绿）","基本款水手服（綠）","Basic Sailor (Green)","เสื้อกะลาสี (เขียว)",,,,,,,"(ชุดเครื่องแบบทหารเรือ)"
215,"ベーシックパンツ（青）","skirt_a001a_p64",11,0,0,0,100,0,0,0,,"Simple Pants (Blue)","Pantalon basique (Bleu)","베이직 팬츠 (청)","基本款短裤（蓝）","基本款短褲（藍）","Basic Pants (Blue)","กางเกงธรรมดา (ฟ้า)",,,,,,,"(ชุดเครื่องแบบทหารเรือ)"
216,"ベーシックパンツ（緑）","skirt_a001b_p64",11,0,0,0,100,0,0,0,,"Simple Pants (Green)","Pantalon basique (Vert)","베이직 팬츠 (녹)","基本款短裤（绿）","基本款短褲（綠）","Basic Pants (Green)","กางเกงธรรมดา (เขียว)",,,,,,,"(ชุดเครื่องแบบทหารเรือ)"
217,"アイザックのブーツ","shoes_z002a_p51+shoes_z002a_p62",13,0,0,0,100,0,0,0,,"Izac's Boots","Bottes d'Isaac","아이자크의 부츠","艾依查库的鞋子","艾依查庫的鞋子","Isaac Boots","บูทของไอแซค",,,,,,,
218,"アイザックのトラウザ","skirt_z002a_p48+skirt_z002a_p59",11,0,0,0,100,0,0,0,,"Izac's Trousers","Pantalon d'Isaac","아이자크의 바지","艾依查库的长裤","艾依查庫的長褲","Isaac Trouser","กางเกงของไอแซค",,,,,,,
219,"アイザックの上着","blouse_z002a_p33+blouse_z002a_p67+blouse_z002a_p87",10,0,0,0,100,0,0,0,,"Izac's Coat","Veste d'Isaac","아이자크의 상의","艾依查库的上衣","艾依查庫的上衣","Isaac Vest","เสื้อนอกของไอแซค",,,,,,,
220,"ジェッドのサンダル","shoes_z007a_p51+shoes_z007a_p62",13,0,0,0,100,0,0,0,,"Jead's Sandals","Sandales de Jead","제드의 샌들","杰多的凉鞋","傑多的涼鞋","Jed Sandals","รองเท้าแตะของเจด",,,,,,,
221,"ジェッドのハーフパンツ","skirt_z007a_p64",11,0,0,0,100,0,0,0,,"Jead's Shorts","Short de Jead","제드의 바지","杰多的短裤","傑多的短褲","Jed Half-pants","กางเกงขาสั้นของเจด",,,,,,,
222,"ジェッドの上着","blouse_z007a_p67",10,0,0,0,100,0,0,0,,"Jead's Vest","Veste de Jead","제드의 상의","杰多的上衣","傑多的上衣","Jed Coat","เสื้อนอกของเจด",,,,,,,
223,"サルガドのブーツ","shoes_z022a_p51+shoes_z022a_p62",13,0,0,0,100,0,0,0,,"Salgado's Boots","Bottes de Salgado","살가드의 부츠","萨尔卡多的鞋子","薩爾卡多的鞋子","Salgado Boots","บูทของซัลกาโด",,,,,,,
224,"サルガドのパンツ","skirt_z022a_p48+skirt_z022a_p59",11,0,0,0,100,0,0,0,,"Salgado's Pants","Pantalon de Salgado","살가드의 바지","萨尔卡多的长裤","薩爾卡多的長褲","Salgado Pants","กางเกงของซัลกาโด",,,,,,,
225,"サルガドの上着","blouse_z022a_p33+blouse_z022a_p67+blouse_z022a_p87",10,0,0,0,100,0,0,0,,"Salgado's Coat","Veste de Salgado","살가드의 상의","萨尔卡多的上衣","薩爾卡多的上衣","Salgado Pants","เสื้อนอกของซัลกาโด",,,,,,,
226,"マックスのフード","hair_z009a_p108+hair_z009a_p94+hair_z009a_p72",3,0,0,0,100,0,0,0,,"Max' Hood","Capuchon de Max","맥스의 후드","马库斯的帽兜","馬庫斯的帽兜","Max Hood","หมวกคลุมของแม็กซ์",,,,,,,
227,"サルガドのフード","hair_z022a_p18+hair_z022a_p75+hair_z022a_p108",3,0,0,0,100,0,0,0,,"Salgado's Hood","Capuchon de Salgado","살가드의 후드","萨尔卡多的帽兜","薩爾卡多的帽兜","Salgado Hood","หมวกคลุมของซัลกาโด",,,,,,,
228,"ブロウニングのアタッシュケース","basket_z030a_p78",21,0,0,0,100,0,0,0,,"Browning's Attaché Case","Attaché-case de Browning","브라우닝의 서류가방","布朗宁的公事包","布朗寧的公事包","Browning Briefcase","กระเป๋าเอกสารของบราวนิ่ง",,,,,,,
229,"ウォーケンの棺桶","fairy_z026a_p2",23,0,0,0,100,0,0,0,,"Walken's Coffin","Cercueil de Walken","워켄의 관","沃肯的棺材","沃肯的棺材","Walken Coffin","โลงศพของวอลเคน",,,,,,,
230,"天使の羽","wing_a000a_p12",23,0,0,0,100,0,0,0,,"Angel Wings","Plume de l'Ange","천사의 날개","天使羽翼","天使羽翼","Angel Wings","ปีกนางฟ้า",,,,,,,
231,"天界の服","dress_b003a_p67+dummy_p33+dummy_p69+dummy_p87",12,0,0,0,100,0,0,0,,"Angel Outfit","Vêtement de l'Ange","천상의 옷","天界服","天界服","Angel Clothes","ชุดแห่งโลกา",,,,,,,
232,"エヴァリストの礼服（上）","blouse_z001b_p33+blouse_z001b_p67+blouse_z001b_p87",10,0,0,0,100,0,0,0,,"Evarist' Dress Uniform (Top)","Tenue d'Evarist (haut)","에바리스트의 예복 상의","艾伯李斯特的礼服（上）","艾伯李斯特的禮服（上）","Evarist Uniform (Top)","เสื้อพิธีการของเอวาริสท์",,,,,,,
233,"エヴァリストの礼服（下）","skirt_z001b_p64",11,0,0,0,100,0,0,0,,"Evarist' Dress Uniform (Bottom)","Tenue d'Evarist (bas)","에바리스트의 예복 하의","艾伯李斯特的礼服（下）","艾伯李斯特的禮服（下）","Evarist Uniform (Bottom)","กางเกงพิธีการของเอวาริสท์",,,,,,,
234,"グリュンワルドの上着（R）","blouse_z003b_p33+blouse_z003b_p67+blouse_z003b_p87+blouse_z003b_p40",10,0,0,0,100,0,0,0,,"Grunwald's Coat (R)","Veste de Grunwald (R)","그룬왈드의 상의（R）","古鲁瓦尔多的上衣（R）","古魯瓦爾多的上衣（R）","Grunwald Coat (R)","เสื้อนอกของกรุนวัลด์ (R)",,,,,,,
235,"グリュンワルドのトラウザ（R）","skirt_z003b_p48+skirt_z003b_p59+skirt_z003b_p69",11,0,0,0,100,0,0,0,,"Grunwald's Trousers","Pantalon de Grunwald (R)","그룬왈드의 바지（R）","古鲁瓦尔多的长裤（R）","古魯瓦爾多的長褲（R）","Grunwald Trousers (R)","กางเกงของกรุนวัลด์ (R)",,,,,,,
236,"ブレイズの上着（R）","blouse_z010b_p33+blouse_z010b_p67+blouse_z010b_p87+blouse_z010b_p40",10,0,0,0,100,0,0,0,,"Blaise' Coat","Veste de Blaise (R)","브레이즈의 상의（R）","布列依斯的上衣（R）","布列依斯的上衣（R）","Blaise Vest (R)","เสื้อนอกของเบลส (R)",,,,,,,
237,"ブレイズのパンツ（R）","skirt_z010b_p64",11,0,0,0,100,0,0,0,,"Blaise' Pants","Pantalon de Blaise (R)","브레이즈의 바지（R）","布列依斯的长裤（R）","布列依斯的長褲（R）","Blaise Pants (R)","กางเกงของเบลส (R)",,,,,,,
